Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C25_PX_LAST,C25_PX_HIGH,C25_PX_LOW,C25_PX_BID,C25_PX_ASK,C25_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-01-16,2.38,2.45,2.27,2.0,2.75,2.38,1.47,1.56,1.45,0.6,1.6,1.1,19.22,19.38,19.0,19.2,19.25,19.225,0.9099999999999999,1.0000000000000002,0.71,19.22,19.38,19.0,-1.1102230246251565e-16,-0.0,0.09000000000000019,9.9,-0.20000000000000007,-22.0
2026-01-20,2.99,3.19,2.59,2.71,3.25,2.98,1.88,2.0,1.64,1.59,2.08,1.84,20.45,20.7,19.45,20.4,20.5,20.45,1.1100000000000003,1.55,0.5899999999999999,20.45,20.7,19.45,0.2000000000000003,22.0,0.64,70.3,-0.3200000000000002,-35.2
2026-01-21,2.32,2.99,2.23,2.07,2.47,2.27,1.45,1.74,1.41,1.23,1.62,1.43,19.27,20.6,19.1,19.25,19.3,19.275,0.8699999999999999,1.5800000000000003,0.49,19.27,20.6,19.1,-0.04000000000000015,-4.4,0.6700000000000003,73.6,-0.42000000000000004,-46.2
2026-01-22,2.14,2.27,2.1,2.0,2.31,2.16,1.34,1.46,1.34,1.18,1.54,1.36,18.95,19.3,18.95,18.95,19.05,19.0,0.8,0.9299999999999999,0.6400000000000001,18.95,19.3,18.95,-0.10999999999999999,-12.1,0.019999999999999907,2.2,-0.2699999999999999,-29.7
2026-01-23,2.29,2.31,2.05,2.28,2.38,2.33,1.5,1.52,1.32,1.49,1.58,1.54,19.29,19.35,18.85,19.25,19.3,19.275,0.79,0.99,0.5299999999999998,19.29,19.35,18.85,-0.12,-13.2,0.07999999999999996,8.8,-0.3800000000000002,-41.8
2026-01-26,2.24,2.29,2.1,2.2,2.3,2.25,1.43,1.51,1.36,1.41,1.48,1.44,19.28,19.8,18.98,19.2,19.3,19.25,0.8100000000000003,0.9299999999999999,0.5900000000000001,19.28,19.8,18.98,-0.09999999999999976,-11.0,0.019999999999999907,2.2,-0.31999999999999995,-35.2
2026-01-27,2.35,2.35,2.12,2.1,2.36,2.23,1.48,1.49,1.35,1.46,1.52,1.49,19.47,19.55,19.02,19.45,19.5,19.475,0.8700000000000001,1.0,0.6300000000000001,19.47,19.55,19.02,-0.039999999999999925,-4.4,0.08999999999999997,9.9,-0.2799999999999999,-30.8
2026-01-28,2.34,2.47,2.2,2.23,2.36,2.3,1.45,1.59,1.41,1.4,1.5,1.45,19.43,19.72,19.22,19.4,19.45,19.425,0.8899999999999999,1.0600000000000003,0.6100000000000001,19.43,19.72,19.22,-0.02000000000000013,-2.2,0.15000000000000024,16.5,-0.29999999999999993,-33.0
2026-01-29,2.37,2.9,2.29,2.32,2.47,2.4,1.5,1.83,1.46,1.45,1.58,1.52,19.64,20.5,19.29,19.6,19.7,19.65,0.8700000000000001,1.44,0.45999999999999996,19.64,20.5,19.29,-0.039999999999999925,-4.4,0.5299999999999999,58.2,-0.45000000000000007,-49.5
2026-01-30,2.59,2.63,2.25,2.5,2.73,2.62,1.67,1.69,1.42,1.57,3.0,2.29,19.95,20.4,19.35,19.9,19.95,19.925,0.9199999999999999,1.21,0.56,19.95,20.4,19.35,0.009999999999999898,1.1,0.29999999999999993,33.0,-0.35,-38.5
2026-02-02,2.0,2.51,2.0,1.78,2.31,2.05,1.28,1.96,1.25,1.12,1.35,1.24,19.06,21.28,18.95,19.05,19.1,19.075,0.72,1.2599999999999998,0.040000000000000036,19.06,21.28,18.95,-0.19000000000000006,-20.9,0.34999999999999976,38.5,-0.87,-95.6
2026-02-03,2.3,2.76,2.03,2.25,2.5,2.38,1.42,1.75,1.27,1.24,1.64,1.44,19.55,20.25,19.05,19.5,19.6,19.55,0.8799999999999999,1.4899999999999998,0.2799999999999998,19.55,20.25,19.05,-0.030000000000000138,-3.3,0.5799999999999997,63.7,-0.6300000000000002,-69.2
2026-02-04,2.4,2.84,2.2,2.3,2.54,2.42,1.49,1.82,1.34,1.26,1.64,1.45,19.7,20.47,19.35,19.65,19.75,19.7,0.9099999999999999,1.4999999999999998,0.3800000000000001,19.7,20.47,19.35,-1.1102230246251565e-16,-0.0,0.5899999999999997,64.8,-0.5299999999999999,-58.2
2026-02-05,3.12,3.25,2.64,3.0,3.3,3.15,1.96,2.06,1.57,1.74,2.31,2.03,21.07,21.1,19.62,21.05,21.1,21.075,1.1600000000000001,1.68,0.5800000000000001,21.07,21.1,19.62,0.2500000000000001,27.5,0.7699999999999999,84.6,-0.32999999999999996,-36.3
2026-02-06,2.24,2.72,2.2,2.1,2.43,2.27,1.38,1.65,1.35,1.22,1.54,1.38,19.7,21.57,19.6,19.65,19.7,19.675,0.8600000000000003,1.37,0.5500000000000003,19.7,21.57,19.6,-0.04999999999999971,-5.5,0.4600000000000001,50.5,-0.35999999999999976,-39.6
2026-02-09,1.9,2.3,1.89,1.94,2.07,2.01,1.13,1.38,1.1,1.09,1.25,1.17,19.2,19.8,18.77,19.2,19.25,19.225,0.77,1.1999999999999997,0.51,19.2,19.8,18.77,-0.14,-15.4,0.2899999999999997,31.9,-0.4,-44.0
2026-02-10,2.06,2.07,1.85,1.99,2.1,2.05,1.2,1.21,1.11,1.15,1.3,1.23,19.5,19.6,19.1,19.5,19.55,19.525,0.8600000000000001,0.9599999999999997,0.6400000000000001,19.5,19.6,19.1,-0.04999999999999993,-5.5,0.04999999999999971,5.5,-0.2699999999999999,-29.7
2026-02-11,1.97,2.23,1.83,1.85,2.2,2.03,1.16,1.32,1.07,0.95,1.33,1.14,19.48,19.9,19.1,19.45,19.5,19.475,0.81,1.16,0.51,19.48,19.9,19.1,-0.09999999999999998,-11.0,0.2499999999999999,27.5,-0.4,-44.0
2026-02-12,2.7,2.79,1.85,2.58,2.8,2.69,1.55,1.58,1.05,1.33,1.6,1.47,20.45,20.67,19.2,20.45,20.55,20.5,1.1500000000000001,1.74,0.27,20.45,20.67,19.2,0.2400000000000001,26.4,0.83,91.2,-0.64,-70.3
2026-02-13,2.86,3.05,2.22,2.63,3.15,2.89,1.67,1.77,1.3,1.53,1.97,1.75,20.91,21.22,19.85,20.9,20.95,20.925,1.19,1.7499999999999998,0.4500000000000002,20.91,21.22,19.85,0.2799999999999999,30.8,0.8399999999999997,92.3,-0.45999999999999985,-50.5
2026-02-17,2.29,3.2,2.23,2.25,2.39,2.32,1.31,1.86,1.28,1.27,1.39,1.33,20.18,21.65,20.05,20.15,20.2,20.175,0.98,1.9200000000000002,0.3699999999999999,20.18,21.65,20.05,0.06999999999999995,7.7,1.0100000000000002,111.0,-0.5400000000000001,-59.3
2026-02-18,2.27,2.45,1.99,2.12,2.33,2.23,1.3,1.41,1.13,1.17,1.36,1.27,20.15,20.48,19.7,20.1,20.15,20.125,0.97,1.3200000000000003,0.5800000000000001,20.15,20.48,19.7,0.05999999999999994,6.6,0.41000000000000025,45.1,-0.32999999999999996,-36.3
2026-02-19,2.56,2.83,2.45,2.35,2.88,2.62,1.49,1.65,1.27,1.4,1.71,1.56,20.65,21.13,19.95,20.6,20.7,20.65,1.07,1.56,0.8000000000000003,20.65,21.13,19.95,0.16000000000000003,17.6,0.65,71.4,-0.10999999999999976,-12.1
