Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C40_PX_LAST,C40_PX_HIGH,C40_PX_LOW,C40_PX_BID,C40_PX_ASK,C40_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-01-16,2.38,2.45,2.27,2.0,2.75,2.38,0.75,0.77,0.72,0.35,4.05,2.2,19.22,19.38,19.0,19.2,19.25,19.225,1.63,1.7300000000000002,1.5,19.22,19.38,19.0,0.17999999999999994,12.4,0.28000000000000025,19.3,0.050000000000000044,3.4
2026-01-20,2.99,3.19,2.59,2.71,3.25,2.98,0.87,0.92,0.81,0.57,1.01,0.79,20.45,20.7,19.45,20.4,20.5,20.45,2.12,2.38,1.67,20.45,20.7,19.45,0.6700000000000002,46.2,0.9299999999999999,64.1,0.21999999999999997,15.2
2026-01-21,2.32,2.99,2.23,2.07,2.47,2.27,0.67,0.84,0.67,0.46,0.85,0.66,19.27,20.6,19.1,19.25,19.3,19.275,1.65,2.3200000000000003,1.3900000000000001,19.27,20.6,19.1,0.19999999999999996,13.8,0.8700000000000003,60.0,-0.05999999999999983,-4.1
2026-01-22,2.14,2.27,2.1,2.0,2.31,2.16,0.64,0.71,0.63,0.48,0.81,0.65,18.95,19.3,18.95,18.95,19.05,19.0,1.5,1.6400000000000001,1.3900000000000001,18.95,19.3,18.95,0.050000000000000044,3.4,0.19000000000000017,13.1,-0.05999999999999983,-4.1
2026-01-23,2.29,2.31,2.05,2.28,2.38,2.33,0.75,0.75,0.63,0.71,0.77,0.74,19.29,19.35,18.85,19.25,19.3,19.275,1.54,1.6800000000000002,1.2999999999999998,19.29,19.35,18.85,0.09000000000000008,6.2,0.2300000000000002,15.9,-0.15000000000000013,-10.3
2026-01-26,2.24,2.29,2.1,2.2,2.3,2.25,0.65,0.7,0.64,0.65,0.71,0.68,19.28,19.8,18.98,19.2,19.3,19.25,1.5900000000000003,1.65,1.4000000000000001,19.28,19.8,18.98,0.14000000000000035,9.7,0.19999999999999996,13.8,-0.04999999999999982,-3.4
2026-01-27,2.35,2.35,2.12,2.1,2.36,2.23,0.67,0.68,0.62,0.66,0.71,0.69,19.47,19.55,19.02,19.45,19.5,19.475,1.6800000000000002,1.73,1.44,19.47,19.55,19.02,0.2300000000000002,15.9,0.28,19.3,-0.010000000000000009,-0.7
2026-01-28,2.34,2.47,2.2,2.23,2.36,2.3,0.67,0.8,0.65,0.62,0.71,0.67,19.43,19.72,19.22,19.4,19.45,19.425,1.67,1.8200000000000003,1.4000000000000001,19.43,19.72,19.22,0.21999999999999997,15.2,0.37000000000000033,25.5,-0.04999999999999982,-3.4
2026-01-29,2.37,2.9,2.29,2.32,2.47,2.4,0.7,0.86,0.66,0.49,0.74,0.62,19.64,20.5,19.29,19.6,19.7,19.65,1.6700000000000002,2.2399999999999998,1.4300000000000002,19.64,20.5,19.29,0.2200000000000002,15.2,0.7899999999999998,54.5,-0.019999999999999796,-1.4
2026-01-30,2.59,2.63,2.25,2.5,2.73,2.62,0.8,0.8,0.65,0.35,1.01,0.68,19.95,20.4,19.35,19.9,19.95,19.925,1.7899999999999998,1.98,1.45,19.95,20.4,19.35,0.33999999999999986,23.4,0.53,36.6,0.0,0.0
2026-02-02,2.0,2.51,2.0,1.78,2.31,2.05,0.58,0.67,0.55,0.39,0.65,0.52,19.06,21.28,18.95,19.05,19.1,19.075,1.42,1.9599999999999997,1.33,19.06,21.28,18.95,-0.030000000000000027,-2.1,0.5099999999999998,35.2,-0.11999999999999988,-8.3
2026-02-03,2.3,2.76,2.03,2.25,2.5,2.38,0.62,0.8,0.57,0.42,0.79,0.61,19.55,20.25,19.05,19.5,19.6,19.55,1.6799999999999997,2.19,1.2299999999999998,19.55,20.25,19.05,0.22999999999999976,15.9,0.74,51.0,-0.2200000000000002,-15.2
2026-02-04,2.4,2.84,2.2,2.3,2.54,2.42,0.66,0.84,0.61,0.46,0.79,0.63,19.7,20.47,19.35,19.65,19.75,19.7,1.7399999999999998,2.23,1.3600000000000003,19.7,20.47,19.35,0.2899999999999998,20.0,0.78,53.8,-0.08999999999999964,-6.2
