Date,Feb_2026_Long_Price,Feb_2026_Short_Price,Feb_2026_Long_Volume,Feb_2026_Short_Volume,Feb_2026_Spread,Feb_2026_Total_Volume,Mar_2026_Long_Price,Mar_2026_Short_Price,Mar_2026_Long_Volume,Mar_2026_Short_Volume,Mar_2026_Spread,Mar_2026_Total_Volume
2025-05-29,4.6,3.15,1.0,3.0,1.4499999999999997,4.0,,,0.0,0.0,,0.0
2025-05-30,4.7,,34.0,0.0,,34.0,,,0.0,0.0,,0.0
2025-06-02,4.55,2.56,25.0,1.0,1.9899999999999998,26.0,,,0.0,0.0,,0.0
2025-06-03,4.5,,24.0,0.0,,24.0,,,0.0,0.0,,0.0
2025-06-04,4.55,2.39,22.0,24.0,2.1599999999999997,46.0,,,0.0,0.0,,0.0
2025-06-05,5.05,,32.0,0.0,,32.0,,,0.0,0.0,,0.0
2025-06-06,4.7,2.52,20.0,11.0,2.18,31.0,,,0.0,0.0,,0.0
2025-06-09,4.6,,60.0,0.0,,60.0,,,0.0,0.0,,0.0
2025-06-10,4.7,2.77,3.0,1.0,1.9300000000000002,4.0,,,0.0,0.0,,0.0
2025-06-11,4.65,2.5,18.0,4.0,2.1500000000000004,22.0,,,0.0,0.0,,0.0
2025-06-12,4.8,,14.0,0.0,,14.0,,,0.0,0.0,,0.0
2025-06-13,5.05,,34.0,0.0,,34.0,,,0.0,0.0,,0.0
2025-06-16,4.8,2.66,10.0,2.0,2.1399999999999997,12.0,,,0.0,0.0,,0.0
2025-06-17,4.8,2.8,10.0,40.0,2.0,50.0,,,0.0,0.0,,0.0
2025-06-18,4.6,2.81,25.0,1.0,1.7899999999999996,26.0,,,0.0,0.0,,0.0
2025-06-20,4.8,2.75,5.0,165.0,2.05,170.0,,,0.0,0.0,,0.0
2025-06-23,4.95,3.05,36.0,26.0,1.9000000000000004,62.0,,,0.0,0.0,,0.0
2025-06-24,4.95,,52.0,0.0,,52.0,,,0.0,0.0,,0.0
2025-06-25,4.95,,65.0,0.0,,65.0,,,0.0,0.0,,0.0
2025-06-26,4.43,2.5,15.0,11.0,1.9299999999999997,26.0,4.55,2.57,25.0,6.0,1.98,31.0
2025-06-27,,2.41,0.0,30.0,,30.0,4.75,,3.0,0.0,,3.0
2025-06-30,4.5,,1.0,0.0,,1.0,4.78,2.7,15.0,3.0,2.08,18.0
2025-07-01,4.55,,1.0,0.0,,1.0,4.8,2.7,2.0,1.0,2.0999999999999996,3.0
2025-07-02,,,0.0,0.0,,0.0,4.8,,28.0,0.0,,28.0
2025-07-03,4.85,2.48,7.0,25.0,2.3699999999999997,32.0,5.3,2.9,3.0,151.0,2.4,154.0
2025-07-07,,,0.0,0.0,,0.0,4.97,2.84,1.0,2.0,2.13,3.0
2025-07-08,4.7,2.45,4.0,1.0,2.25,5.0,4.75,2.6,116.0,1.0,2.15,117.0
2025-07-09,4.45,2.4,13.0,3.0,2.0500000000000003,16.0,4.75,2.45,56.0,160.0,2.3,216.0
2025-07-10,,2.35,0.0,5.0,,5.0,5.15,2.55,21.0,18.0,2.6000000000000005,39.0
2025-07-11,,2.4,0.0,3.0,,3.0,4.65,,2.0,0.0,,2.0
2025-07-14,,2.32,0.0,28.0,,28.0,4.85,2.64,4.0,60.0,2.2099999999999995,64.0
2025-07-15,4.75,2.5,5.0,2.0,2.25,7.0,4.7,2.7,22.0,15.0,2.0,37.0
2025-07-16,4.65,2.45,23.0,10.0,2.2,33.0,5.0,2.5,10.0,53.0,2.5,63.0
2025-07-17,4.8,2.52,4.0,5.0,2.28,9.0,5.03,2.6,7.0,4.0,2.43,11.0
2025-07-18,,2.33,0.0,5.0,,5.0,4.85,2.6,12.0,10.0,2.2499999999999996,22.0
2025-07-21,,,0.0,0.0,,0.0,4.8,2.65,2.0,21.0,2.15,23.0
2025-07-22,4.65,,6.0,0.0,,6.0,,2.65,0.0,6.0,,6.0
2025-07-23,4.45,2.3,4.0,2.0,2.1500000000000004,6.0,5.05,2.66,42.0,14.0,2.3899999999999997,56.0
2025-07-24,4.37,2.14,55.0,15.0,2.23,70.0,4.65,2.49,13.0,2.0,2.16,15.0
2025-07-25,4.35,,72.0,0.0,,72.0,4.75,2.5,3.0,25.0,2.25,28.0
2025-07-28,4.35,,1.0,0.0,,1.0,4.5,2.43,36.0,104.0,2.07,140.0
2025-07-29,4.4,,5.0,0.0,,5.0,,2.47,0.0,11.0,,11.0
2025-07-30,4.53,2.33,14.0,10.0,2.2,24.0,4.72,,1.0,0.0,,1.0
2025-07-31,4.45,2.33,2.0,25.0,2.12,27.0,4.8,2.45,11.0,224.0,2.3499999999999996,235.0
2025-08-01,4.55,2.45,66.0,10.0,2.0999999999999996,76.0,4.75,2.56,11.0,254.0,2.19,265.0
2025-08-04,4.45,2.38,28.0,6.0,2.0700000000000003,34.0,4.6,2.44,5.0,2.0,2.1599999999999997,7.0
2025-08-05,,2.54,0.0,1.0,,1.0,4.3,2.46,4.0,5.0,1.8399999999999999,9.0
2025-08-06,4.36,,10.0,0.0,,10.0,,,0.0,0.0,,0.0
2025-08-07,,2.5,0.0,8.0,,8.0,4.6,2.42,3.0,1.0,2.1799999999999997,4.0
2025-08-08,4.38,2.26,1.0,21.0,2.12,22.0,4.55,,1.0,0.0,,1.0
2025-08-11,4.45,2.23,6.0,103.0,2.22,109.0,,,0.0,0.0,,0.0
2025-08-12,4.35,2.17,6.0,630.0,2.1799999999999997,636.0,4.5,2.55,31.0,46.0,1.9500000000000002,77.0
2025-08-13,4.4,2.16,32.0,2546.0,2.24,2578.0,4.65,,100.0,0.0,,100.0
2025-08-14,4.5,,12.0,0.0,,12.0,,2.35,0.0,1.0,,1.0
